Bundling 6%
Bundling 20%
Bundling 64%
Bundling 69%
Bundling 74%
Bundling 80%
Bundling 85%
Bundling 90%
Bundling 95%
Bundling 100%
Copying public dir 44.1 MB
Getting composition
Composition          Audiogram
Codec                h264
Output               out/video.mp4
Concurrency          2x
Rendered 223/7501, time remaining: 39m 15s
Rendered 223/7501, time remaining: 39m 15s
Rendered 224/7501, time remaining: 39m 33s
Rendered 225/7501, time remaining: 39m 14s
Rendered 225/7501, time remaining: 39m 14s
Rendered 226/7501, time remaining: 39m 35s
Rendered 227/7501, time remaining: 39m 18s
Rendered 227/7501, time remaining: 39m 18s
Rendered 228/7501, time remaining: 39m 36s
Rendered 229/7501, time remaining: 39m 13s
Rendered 229/7501, time remaining: 39m 13s
Rendered 229/7501, time remaining: 39m 13s
Rendered 230/7501, time remaining: 39m 38s
Rendered 231/7501, time remaining: 39m 13s
Rendered 231/7501, time remaining: 39m 13s
Rendered 232/7501, time remaining: 39m 37s
Rendered 233/7501, time remaining: 39m 14s
Rendered 233/7501, time remaining: 39m 14s
Rendered 234/7501, time remaining: 39m 39s
Rendered 235/7501, time remaining: 39m 14s
Rendered 235/7501, time remaining: 39m 14s
Rendered 236/7501, time remaining: 39m 40s
Rendered 237/7501, time remaining: 39m 15s
Rendered 237/7501, time remaining: 39m 15s
Rendered 237/7501, time remaining: 39m 15s
Rendered 238/7501, time remaining: 39m 40s
Rendered 239/7501, time remaining: 39m 15s
Rendered 239/7501, time remaining: 39m 15s
Rendered 240/7501, time remaining: 39m 38s
Rendered 241/7501, time remaining: 39m 13s
Rendered 241/7501, time remaining: 39m 13s
Rendered 242/7501, time remaining: 39m 37s
Rendered 243/7501, time remaining: 39m 13s
Rendered 243/7501, time remaining: 39m 13s
Rendered 244/7501, time remaining: 39m 33s
Rendered 244/7501, time remaining: 39m 33s
Rendered 245/7501, time remaining: 39m 12s
Rendered 246/7501, time remaining: 39m 28s
Rendered 246/7501, time remaining: 39m 28s
Rendered 247/7501, time remaining: 39m 13s
Rendered 247/7501, time remaining: 39m 13s
Rendered 248/7501, time remaining: 39m 25s
Rendered 249/7501, time remaining: 39m 12s
Rendered 249/7501, time remaining: 39m 12s
Rendered 250/7501, time remaining: 39m 27s
Rendered 250/7501, time remaining: 39m 27s
Rendered 251/7501, time remaining: 39m 17s
Rendered 252/7501, time remaining: 39m 32s
Rendered 252/7501, time remaining: 39m 32s
Rendered 253/7501, time remaining: 39m 26s
Rendered 253/7501, time remaining: 39m 26s
Rendered 254/7501, time remaining: 39m 40s
Rendered 254/7501, time remaining: 39m 40s
Rendered 255/7501, time remaining: 39m 39s
Rendered 255/7501, time remaining: 39m 39s
Rendered 256/7501, time remaining: 39m 50s
Rendered 256/7501, time remaining: 39m 50s
Rendered 257/7501, time remaining: 39m 50s
Rendered 258/7501, time remaining: 39m 55s
Rendered 258/7501, time remaining: 39m 55s
Rendered 259/7501, time remaining: 39m 59s
Rendered 259/7501, time remaining: 39m 59s
Rendered 260/7501, time remaining: 40m 0s
Rendered 260/7501, time remaining: 40m 0s
Rendered 261/7501, time remaining: 40m 9s
Rendered 262/7501, time remaining: 40m 8s
Rendered 262/7501, time remaining: 40m 8s
Rendered 262/7501, time remaining: 40m 8s
Rendered 263/7501, time remaining: 40m 15s
Rendered 264/7501, time remaining: 40m 19s
Rendered 264/7501, time remaining: 40m 19s
Rendered 265/7501, time remaining: 40m 28s
Rendered 265/7501, time remaining: 40m 28s
Rendered 266/7501, time remaining: 40m 25s
Rendered 266/7501, time remaining: 40m 25s
Rendered 267/7501, time remaining: 40m 43s
